language,encoder,definition_gen_model,metric,space,spearman,timestamp,other
swedish,rembert,gemini25pro,amd_sym,full,0.359,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,amd_opt_sym,full,0.397,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,prt,pca,-0.105,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,apd,pca,-0.245,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,amd,pca,0.543,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,amd_sym,pca,0.384,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,amd_opt_sym,pca,0.372,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,prt,def,0.267,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,apd,def,0.299,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,amd,def,0.594,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,amd_sym,def,0.177,2026-01-29 14:05:05,
swedish,rembert,gemini25pro,amd_opt_sym,def,0.142,2026-01-29 14:05:05,
swedish,multilingual-e5,gemini25pro,prt,full,0.147,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,apd,full,0.411,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd,full,0.35,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd_sym,full,0.479,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd_opt_sym,full,0.471,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,prt,pca,0.424,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,apd,pca,0.018,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd,pca,0.437,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd_sym,pca,0.416,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd_opt_sym,pca,0.414,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,prt,def,-0.325,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,apd,def,0.533,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd,def,0.298,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd_sym,def,0.404,2026-01-29 14:05:13,
swedish,multilingual-e5,gemini25pro,amd_opt_sym,def,0.215,2026-01-29 14:05:13,
swedish,mmbert,gemini25pro,prt,full,0.007,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,apd,full,0.476,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd,full,0.573,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd_sym,full,0.477,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd_opt_sym,full,0.518,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,prt,pca,0.302,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,apd,pca,-0.323,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd,pca,0.509,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd_sym,pca,0.318,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd_opt_sym,pca,0.312,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,prt,def,0.141,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,apd,def,0.52,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd,def,0.572,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd_sym,def,0.301,2026-01-29 14:05:22,
swedish,mmbert,gemini25pro,amd_opt_sym,def,0.237,2026-01-29 14:05:22,
swedish,en,gemini25pro,prt,full,0.627,2026-01-29 14:05:30,
swedish,en,gemini25pro,apd,full,0.724,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd,full,0.639,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd_sym,full,0.761,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd_opt_sym,full,0.762,2026-01-29 14:05:30,
swedish,en,gemini25pro,prt,pca,-0.247,2026-01-29 14:05:30,
swedish,en,gemini25pro,apd,pca,-0.042,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd,pca,0.616,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd_sym,pca,0.75,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd_opt_sym,pca,0.728,2026-01-29 14:05:30,
swedish,en,gemini25pro,prt,def,0.626,2026-01-29 14:05:30,
swedish,en,gemini25pro,apd,def,0.72,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd,def,0.701,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd_sym,def,0.77,2026-01-29 14:05:30,
swedish,en,gemini25pro,amd_opt_sym,def,0.774,2026-01-29 14:05:30,
swedish,swedish_MegatronBERT,gemini25pro,prt,full,0.024,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,apd,full,0.257,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,amd,full,0.268,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,amd_sym,full,0.105,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,amd_opt_sym,full,0.135,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,prt,pca,0.085,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,apd,pca,0.242,2026-01-29 14:05:38,
